Year,Field,Name,Work
2017,physics,Barry C. Barish,for decisive contributions to the LIGO detector and the observation of gravitational waves
,,,
2017,physics,Kip S. Thorne,for decisive contributions to the LIGO detector and the observation of gravitational waves
,,,
2017,chemistry,Jacques Dubochet,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
,,,
2017,chemistry,Joachim Frank,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
,,,
2017,chemistry,Richard Henderson,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution
,,,
2017,medicine,Jeffrey C. Hall,for their discoveries of molecular mechanisms controlling the circadian rhythm
,,,
2017,medicine,Michael Rosbash,for their discoveries of molecular mechanisms controlling the circadian rhythm
,,,
2017,medicine,Michael W. Young,for their discoveries of molecular mechanisms controlling the circadian rhythm
,,,
2017,literature,Kazuo Ishiguro,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world"
,,,
2017,peace,International Campaign to Abolish Nuclear Weapons (ICAN) ,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons
,,,
2017,economics,Richard H. Thaler,for his contributions to behavioural economics
,,,
2016,physics,David J. Thouless,for theoretical discoveries of topological phase transitions and topological phases of matter
,,,
2016,physics,F. Duncan M. Haldane,for theoretical discoveries of topological phase transitions and topological phases of matter
,,,
2016,physics,J. Michael Kosterlitz,for theoretical discoveries of topological phase transitions and topological phases of matter
,,,
2016,chemistry,Jean-Pierre Sauvage,for the design and synthesis of molecular machines
,,,
2016,chemistry,Sir J. Fraser Stoddart,for the design and synthesis of molecular machines
,,,
2016,chemistry,Bernard L. Feringa,for the design and synthesis of molecular machines
,,,
2016,medicine,Yoshinori Ohsumi,for his discoveries of mechanisms for autophagy
,,,
2016,literature,Bob Dylan,for having created new poetic expressions within the great American song tradition
,,,
2016,peace,Juan Manuel Santos,for his resolute efforts to bring the country’s more than 50-year-long civil war to an end
,,,
2016,economics,Oliver Hart,for their contributions to contract theory
,,,
2016,economics,Bengt Holmström,for their contributions to contract theory
,,,
2015,physics,Takaaki Kajita,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
,,,
2015,physics,Arthur B. McDonald,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
,,,
2015,chemistry,Tomas Lindahl,for mechanistic studies of DNA repair
,,,
2015,chemistry,Paul Modrich,for mechanistic studies of DNA repair
,,,
2015,chemistry,Aziz Sancar,for mechanistic studies of DNA repair
,,,
2015,medicine,William C. Campbell,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
,,,
2015,medicine,Satoshi Ōmura,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
,,,
2015,medicine,Tu Youyou,for her discoveries concerning a novel therapy against Malaria
,,,
2015,literature,Svetlana Alexievich,"for her polyphonic writings, a monument to suffering and courage in our time"
,,,
2015,peace,National Dialogue Quartet ,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011
,,,
2015,economics,Angus Deaton,"for his analysis of consumption, poverty, and welfare"
,,,
2014,physics,Isamu Akasaki,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
,,,
2014,physics,Hiroshi Amano,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
,,,
2014,physics,Shuji Nakamura,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
,,,
2014,chemistry,Eric Betzig,for the development of super-resolved fluorescence microscopy
,,,
2014,chemistry,Stefan W. Hell,for the development of super-resolved fluorescence microscopy
,,,
2014,chemistry,William E. Moerner,for the development of super-resolved fluorescence microscopy
,,,
2014,medicine,John O’Keefe,for their discoveries of cells that constitute a positioning system in the brain
,,,
2014,medicine,May-Britt Moser,for their discoveries of cells that constitute a positioning system in the brain
,,,
2014,medicine,Edvard I. Moser,for their discoveries of cells that constitute a positioning system in the brain
,,,
2014,literature,Patrick Modiano,for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation
,,,
2014,peace,Kailash Satyarthi,for their struggle against the suppression of children and young people and for the right of all children to education
,,,
2014,peace,Malala Yousafzai,for their struggle against the suppression of children and young people and for the right of all children to education
,,,
2014,economics,Jean Tirole,for his analysis of market power and regulation
,,,
2013,physics,François Englert,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider"
,,,
2013,physics,Peter W. Higgs,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider"
,,,
2013,chemistry,Martin Karplus,for the development of multiscale models for complex chemical systems
,,,
2013,chemistry,Michael Levitt,for the development of multiscale models for complex chemical systems
,,,
2013,chemistry,Arieh Warshel,for the development of multiscale models for complex chemical systems
,,,
2013,medicine,James E. Rothman,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
,,,
2013,medicine,Randy W. Schekman,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
,,,
2013,medicine,Thomas C. Südhof,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells"
,,,
2013,literature,Alice Munro,master of the contemporary short story
,,,
2013,peace,Organisation for the Prohibition of Chemical Weapons (OPCW) ,for its extensive efforts to eliminate chemical weapons
,,,
2013,economics,Eugene F. Fama,for their empirical analysis of asset prices
,,,
2013,economics,Lars Peter Hansen,for their empirical analysis of asset prices
,,,
2013,economics,Robert J. Shiller,for their empirical analysis of asset prices
,,,
2012,physics,Serge Haroche,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
,,,
2012,physics,David J. Wineland,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems
,,,
2012,chemistry,Robert J. Lefkowitz,for studies of G-protein-coupled receptors
,,,
2012,chemistry,Brian K. Kobilka,for studies of G-protein-coupled receptors
,,,
2012,medicine,Sir John B. Gurdon,for the discovery that mature cells can be reprogrammed to become pluripotent
,,,
2012,medicine,Shinya Yamanaka,for the discovery that mature cells can be reprogrammed to become pluripotent
,,,
2012,literature,Mo Yan,"who with hallucinatory realism merges folk tales, history and the contemporary"
,,,
2012,peace,European Union (EU) ,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe"
,,,
2012,economics,Alvin E. Roth,for the theory of stable allocations and the practice of market design
,,,
2012,economics,Lloyd S. Shapley,for the theory of stable allocations and the practice of market design
,,,
2011,physics,Saul Perlmutter,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
,,,
2011,physics,Brian P. Schmidt,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
,,,
2011,physics,Adam G. Riess,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
,,,
2011,chemistry,Dan Shechtman,for the discovery of quasicrystals
,,,
2011,medicine,Bruce A. Beutler,for their discoveries concerning the activation of innate immunity
,,,
2011,medicine,Jules A. Hoffmann,for their discoveries concerning the activation of innate immunity
,,,
2011,medicine,Ralph M. Steinman,for his discovery of the dendritic cell and its role in adaptive immunity
,,,
2011,literature,Tomas Tranströmer,"because, through his condensed, translucent images, he gives us fresh access to reality"
,,,
2011,peace,Ellen Johnson Sirleaf,for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work
,,,
2011,peace,Leymah Gbowee,for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work
,,,
2011,peace,Tawakkol Karman,for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work
,,,
2011,economics,Thomas J. Sargent,for their empirical research on cause and effect in the macroeconomy
,,,
2011,economics,Christopher A. Sims,for their empirical research on cause and effect in the macroeconomy
,,,
2010,physics,Andre Geim,for groundbreaking experiments regarding the two-dimensional material graphene
,,,
2010,physics,Konstantin Novoselov,for groundbreaking experiments regarding the two-dimensional material graphene
,,,
2010,chemistry,Richard F. Heck,for palladium-catalyzed cross couplings in organic synthesis
,,,
2010,chemistry,Ei-ichi Negishi,for palladium-catalyzed cross couplings in organic synthesis
,,,
2010,chemistry,Akira Suzuki,for palladium-catalyzed cross couplings in organic synthesis
,,,
2010,medicine,Robert G. Edwards,for the development of in vitro fertilization
,,,
2010,literature,Mario Vargas Llosa,"for his cartography of structures of power and his trenchant images of the individual’s resistance, revolt, and defeat"
,,,
2010,peace,Liu Xiaobo,for his long and non-violent struggle for fundamental human rights in China
,,,
2010,economics,Peter A. Diamond,for their analysis of markets with search frictions
,,,
2010,economics,Dale T. Mortensen,for their analysis of markets with search frictions
,,,
2010,economics,Christopher A. Pissarides,for their analysis of markets with search frictions
,,,
2009,physics,Charles Kuen Kao,for groundbreaking achievements concerning the transmission of light in fibers for optical communication
,,,
2009,physics,Willard S. Boyle,for the invention of an imaging semiconductor circuit – the CCD sensor
,,,
2009,physics,George E. Smith,for the invention of an imaging semiconductor circuit – the CCD sensor
,,,
2009,chemistry,Venkatraman Ramakrishnan,for studies of the structure and function of the ribosome
,,,
2009,chemistry,Thomas A. Steitz,for studies of the structure and function of the ribosome
,,,
2009,chemistry,Ada E. Yonath,for studies of the structure and function of the ribosome
,,,
2009,medicine,Elizabeth H. Blackburn,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
,,,
2009,medicine,Carol W. Greider,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
,,,
2009,medicine,Jack W. Szostak,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
,,,
2009,literature,Herta Müller,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed"
,,,
2009,peace,Barack H. Obama,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples
,,,
2009,economics,Elinor Ostrom,"for her analysis of economic governance, especially the commons"
,,,
2009,economics,Oliver E. Williamson,"for his analysis of economic governance, especially the boundaries of the firm"
,,,
2008,physics,Yoichiro Nambu,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
,,,
2008,physics,Makoto Kobayashi,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
,,,
2008,physics,Toshihide Maskawa,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
,,,
2008,chemistry,Osamu Shimomura,"for the discovery and development of the green fluorescent protein, GFP"
,,,
2008,chemistry,Martin Chalfie,"for the discovery and development of the green fluorescent protein, GFP"
,,,
2008,chemistry,Roger Y. Tsien,"for the discovery and development of the green fluorescent protein, GFP"
,,,
2008,medicine,Harald zur Hausen,for his discovery of human papilloma viruses causing cervical cancer
,,,
2008,medicine,Françoise Barré-Sinoussi,for their discovery of human immunodeficiency virus
,,,
2008,medicine,Luc Montagnier,for their discovery of human immunodeficiency virus
,,,
2008,literature,Jean-Marie Gustave Le Clézio,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization"
,,,
2008,peace,Martti Ahtisaari,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts"
,,,
2008,economics,Paul Krugman,for his analysis of trade patterns and location of economic activity
,,,
2007,physics,Albert Fert,for the discovery of Giant Magnetoresistance
,,,
2007,physics,Peter Grünberg,for the discovery of Giant Magnetoresistance
,,,
2007,chemistry,Gerhard Ertl,for his studies of chemical processes on solid surfaces
,,,
2007,medicine,Mario R. Capecchi,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
,,,
2007,medicine,Sir Martin J. Evans,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
,,,
2007,medicine,Oliver Smithies,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells
,,,
2007,literature,Doris Lessing,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny"
,,,
2007,peace,Intergovernmental Panel on Climate Change (IPCC) ,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
,,,
2007,peace,Albert Arnold (Al) Gore Jr.,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change"
,,,
2007,economics,Leonid Hurwicz,for having laid the foundations of mechanism design theory
,,,
2007,economics,Eric S. Maskin,for having laid the foundations of mechanism design theory
,,,
2007,economics,Roger B. Myerson,for having laid the foundations of mechanism design theory
,,,
2006,physics,John C. Mather,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
,,,
2006,physics,George F. Smoot,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation
,,,
2006,chemistry,Roger D. Kornberg,for his studies of the molecular basis of eukaryotic transcription
,,,
2006,medicine,Andrew Z. Fire,for their discovery of RNA interference – gene silencing by double-stranded RNA
,,,
2006,medicine,Craig C. Mello,for their discovery of RNA interference – gene silencing by double-stranded RNA
,,,
2006,literature,Orhan Pamuk,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures
,,,
2006,peace,Muhammad Yunus,for their efforts to create economic and social development from below
,,,
2006,peace,Grameen Bank ,for their efforts to create economic and social development from below
,,,
2006,economics,Edmund S. Phelps,for his analysis of intertemporal tradeoffs in macroeconomic policy
,,,
2005,physics,Roy J. Glauber,for his contribution to the quantum theory of optical coherence
,,,
2005,physics,John L. Hall,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
,,,
2005,physics,Theodor W. Hänsch,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
,,,
2005,chemistry,Yves Chauvin,for the development of the metathesis method in organic synthesis
,,,
2005,chemistry,Robert H. Grubbs,for the development of the metathesis method in organic synthesis
,,,
2005,chemistry,Richard R. Schrock,for the development of the metathesis method in organic synthesis
,,,
2005,medicine,Barry J. Marshall,for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
,,,
2005,medicine,J. Robin Warren,for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease
,,,
2005,literature,Harold Pinter,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression’s closed rooms
,,,
2005,peace,International Atomic Energy Agency (IAEA) ,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
,,,
2005,peace,Mohamed ElBaradei,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way
,,,
2005,economics,Robert J. Aumann,for having enhanced our understanding of conflict and cooperation through game-theory analysis
,,,
2005,economics,Thomas C. Schelling,for having enhanced our understanding of conflict and cooperation through game-theory analysis
,,,
2004,physics,David J. Gross,for the discovery of asymptotic freedom in the theory of the strong interaction
,,,
2004,physics,H. David Politzer,for the discovery of asymptotic freedom in the theory of the strong interaction
,,,
2004,physics,Frank Wilczek,for the discovery of asymptotic freedom in the theory of the strong interaction
,,,
2004,chemistry,Aaron Ciechanover,for the discovery of ubiquitin-mediated protein degradation
,,,
2004,chemistry,Avram Hershko,for the discovery of ubiquitin-mediated protein degradation
,,,
2004,chemistry,Irwin Rose,for the discovery of ubiquitin-mediated protein degradation
,,,
2004,medicine,Richard Axel,for their discoveries of odorant receptors and the organization of the olfactory system
,,,
2004,medicine,Linda B. Buck,for their discoveries of odorant receptors and the organization of the olfactory system
,,,
2004,literature,Elfriede Jelinek,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society’s clichés and their subjugating power
,,,
2004,peace,Wangari Muta Maathai,"for her contribution to sustainable development, democracy and peace"
,,,
2004,economics,Finn E. Kydland,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
,,,
2004,economics,Edward C. Prescott,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
,,,
2003,physics,Alexei A. Abrikosov,for pioneering contributions to the theory of superconductors and superfluids
,,,
2003,physics,Vitaly L. Ginzburg,for pioneering contributions to the theory of superconductors and superfluids
,,,
2003,physics,Anthony J. Leggett,for pioneering contributions to the theory of superconductors and superfluids
,,,
2003,chemistry,Peter Agre,for the discovery of water channels
,,,
2003,chemistry,Roderick MacKinnon,for structural and mechanistic studies of ion channels
,,,
2003,medicine,Paul C. Lauterbur,for their discoveries concerning magnetic resonance imaging
,,,
2003,medicine,Sir Peter Mansfield,for their discoveries concerning magnetic resonance imaging
,,,
2003,literature,John M. Coetzee,who in innumerable guises portrays the surprising involvement of the outsider
,,,
2003,peace,Shirin Ebadi,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children
,,,
2003,economics,Robert F. Engle III,for methods of analyzing economic time series with time-varying volatility (ARCH)
,,,
2003,economics,Clive W.J. Granger,for methods of analyzing economic time series with common trends (cointegration)
,,,
2002,physics,Raymond Davis Jr.,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
,,,
2002,physics,Masatoshi Koshiba,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"
,,,
2002,physics,Riccardo Giacconi,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"
,,,
2002,chemistry,John B. Fenn,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
,,,
2002,chemistry,Koichi Tanaka,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
,,,
2002,chemistry,Kurt Wüthrich,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution
,,,
2002,medicine,Sydney Brenner,for their discoveries concerning genetic regulation of organ development and programmed cell death'
,,,
2002,medicine,H. Robert Horvitz,for their discoveries concerning genetic regulation of organ development and programmed cell death'
,,,
2002,medicine,John E. Sulston,for their discoveries concerning genetic regulation of organ development and programmed cell death'
,,,
2002,literature,Imre Kertész,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history
,,,
2002,peace,Jimmy Carter,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development"
,,,
2002,economics,Daniel Kahneman,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty"
,,,
2002,economics,Vernon L. Smith,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms"
,,,
2001,physics,Eric A. Cornell,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
,,,
2001,physics,Wolfgang Ketterle,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
,,,
2001,physics,Carl E. Wieman,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"
,,,
2001,chemistry,William S. Knowles,for their work on chirally catalysed hydrogenation reactions
,,,
2001,chemistry,Ryoji Noyori,for their work on chirally catalysed hydrogenation reactions
,,,
2001,chemistry,K. Barry Sharpless,for his work on chirally catalysed oxidation reactions
,,,
2001,medicine,Leland H. Hartwell,for their discoveries of key regulators of the cell cycle
,,,
2001,medicine,Tim Hunt,for their discoveries of key regulators of the cell cycle
,,,
2001,medicine,Sir Paul M. Nurse,for their discoveries of key regulators of the cell cycle
,,,
2001,literature,Sir Vidiadhar Surajprasad Naipaul,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories
,,,
2001,peace,United Nations (U.N.) ,for their work for a better organized and more peaceful world
,,,
2001,peace,Kofi Annan,for their work for a better organized and more peaceful world
,,,
2001,economics,George A. Akerlof,for their analyses of markets with asymmetric information
,,,
2001,economics,A. Michael Spence,for their analyses of markets with asymmetric information
,,,
2001,economics,Joseph E. Stiglitz,for their analyses of markets with asymmetric information
,,,
2000,physics,Zhores I. Alferov,for developing semiconductor heterostructures used in high-speed- and opto-electronics
,,,
2000,physics,Herbert Kroemer,for developing semiconductor heterostructures used in high-speed- and opto-electronics
,,,
2000,physics,Jack S. Kilby,for his part in the invention of the integrated circuit
,,,
2000,chemistry,Alan J. Heeger,for the discovery and development of conductive polymers
,,,
2000,chemistry,Alan G. MacDiarmid,for the discovery and development of conductive polymers
,,,
2000,chemistry,Hideki Shirakawa,for the discovery and development of conductive polymers
,,,
2000,medicine,Arvid Carlsson,for their discoveries concerning signal transduction in the nervous system
,,,
2000,medicine,Paul Greengard,for their discoveries concerning signal transduction in the nervous system
,,,
2000,medicine,Eric R. Kandel,for their discoveries concerning signal transduction in the nervous system
,,,
2000,literature,Gao Xingjian,"for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama"
,,,
2000,peace,Kim Dae-jung,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular"
,,,
2000,economics,James J. Heckman,for his development of theory and methods for analyzing selective samples
,,,
2000,economics,Daniel L. McFadden,for his development of theory and methods for analyzing discrete choice
,,,
1999,physics,Gerardus ‘t Hooft,for elucidating the quantum structure of electroweak interactions in physics
,,,
1999,physics,Martinus J.G. Veltman,for elucidating the quantum structure of electroweak interactions in physics
,,,
1999,chemistry,Ahmed H. Zewail,for his studies of the transition states of chemical reactions using femtosecond spectroscopy
,,,
1999,medicine,Günter Blobel,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
,,,
1999,literature,Günter Grass,whose frolicsome black fables portray the forgotten face of history
,,,
1999,peace,Médecins Sans Frontières ,in recognition of the organization’s pioneering humanitarian work on several continents
,,,
1999,economics,Robert A. Mundell,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
,,,
1998,physics,Robert B. Laughlin,for their discovery of a new form of quantum fluid with fractionally charged excitations
,,,
1998,physics,Horst L. Störmer,for their discovery of a new form of quantum fluid with fractionally charged excitations
,,,
1998,physics,Daniel C. Tsui,for their discovery of a new form of quantum fluid with fractionally charged excitations
,,,
1998,chemistry,Walter Kohn,for his development of the density-functional theory
,,,
1998,chemistry,John A. Pople,for his development of computational methods in quantum chemistry
,,,
1998,medicine,Robert F. Furchgott,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
,,,
1998,medicine,Louis J. Ignarro,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
,,,
1998,medicine,Ferid Murad,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
,,,
1998,literature,José Saramago,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality"
,,,
1998,peace,John Hume,for their efforts to find a peaceful solution to the conflict in Northern Ireland
,,,
1998,peace,David Trimble,for their efforts to find a peaceful solution to the conflict in Northern Ireland
,,,
1998,economics,Amartya Sen,for his contributions to welfare economics
,,,
1997,physics,Steven Chu,for development of methods to cool and trap atoms with laser light
,,,
1997,physics,Claude Cohen-Tannoudji,for development of methods to cool and trap atoms with laser light
,,,
1997,physics,William D. Phillips,for development of methods to cool and trap atoms with laser light
,,,
1997,chemistry,Paul D. Boyer,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
,,,
1997,chemistry,John E. Walker,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)
,,,
